J1324-576,CIZA J1324.7-5736,201.18,-57.6144444,ExtraGalactic-Cluster_of_Galaxies,0.017879,5.108
J1324-632,SAX J1324.5-6313,201.1125,-63.2233,Others,-0.011272,-3.221
J1325-430,"Cen A,NGC 5128",201.3651,-43.0191,ExtraGalactic-AGN,0.085167,24.333
J1326-621,"4U 1323-619,SAXWFC J1326.7-6208.8",201.6504,-62.1361,Galactic-Compact-Binary-NS,0.005399,1.543
J1329-316,Abell 3558,202.25,-31.6,ExtraGalactic-Cluster_of_Galaxies,,-1
J1335-342,MCG -06-30-15,203.9742,-34.2955,ExtraGalactic-AGN,0.122181,34.909
J1347+174,Tau Boo,206.8156,17.4569,Galactic-Star,,-1
J1347-329,Abell 3571,206.79167,-32.908611,ExtraGalactic-Cluster_of_Galaxies,,-1
J1347-606,4U 1344-60,206.9,-60.6177,ExtraGalactic-AGN,-0.009484,-2.71
J1349+265,Abell 1795,207.2521,26.5853,ExtraGalactic-Cluster_of_Galaxies,0.002412,0.689
J1349-303,IC 4329A,207.3303,-30.3094,ExtraGalactic-AGN,0.015567,4.448
J1357+193,"4C 19.44,HB89 1354+195",209.2685,19.3187,ExtraGalactic-AGN,,-1
J1358-647,GS 1354-64,209.5426,-64.7331,Galactic-Compact-Binary-BH,0.003737,1.068
J1407-510,CIZA J1407.8-5100,211.9688,-51.0092,ExtraGalactic-Cluster_of_Galaxies,,-1
J1408-078,"PKS 1406-076,HB89 1406-076",212.2353,-7.8741,ExtraGalactic-AGN,,-1
J1413-032,NGC 5506,213.312,-3.2075,ExtraGalactic-AGN,0.087872,25.106
J1417+251,NGC 5548,214.498,25.1368,ExtraGalactic-AGN,0.039233,11.209
J1421-626,"2S 1417-624,4U 1416-62",215.3033,-62.6983,Galactic-Compact-Binary-Pulsar,0.008567,2.448
J1428+426,"1ES 1426+428,H 1426+428,2MASX J14283260+4240210",217.1360833,42.6723889,ExtraGalactic-AGN,-0.029554,-8.444
J1440-626,RCW 86,220.1208,-62.645,Galactic-SNR,-0.0334,-9.543
J1457-356,PKS 1454-354,224.3613,-35.6528,ExtraGalactic-AGN,,-1
J1457-431,"IC 4518,VV780",224.4288,-43.1317,ExtraGalactic-AGN,,-1
J1458-316,"Cen X-4,V822 Cen",224.5917,-31.6689,Galactic-Compact-Binary-NS/BH,0.008326,2.379
J1502-420,SN 1006,225.5921,-42.0969,Galactic-SNR,0.020058,5.731
J1504+104,PKS 1502+106,226.1041,10.4942,ExtraGalactic-AGN,,-1
J1510+057,Abell 2029,227.7446,5.7617,ExtraGalactic-Cluster_of_Galaxies,0.006761,1.932
J1512-090,"PKS 1510-08,QSO J1512-0906,HB89 1510-089 NED02,TXS 1510-089",228.2106,-9.0999,ExtraGalactic-AGN,-0.108027,-30.865
J1512-323,Fermi J1512-3221,228.05,-32.366667,Unknown,-0.038525,-11.007
J1513-591,"PSR B1509-58,Cir pulsar",228.4813,-59.1358,Galactic-Compact-Isolated,0.058299,16.657
J1520-571,"Cir X-1,BR Cir",230.1704,-57.1669,Galactic-Compact-Binary-NS/BH,1.496939,427.697
J1522+277,Abell 2065,230.6775,27.7225,ExtraGalactic-Cluster_of_Galaxies,,-1
J1523+086,Abell 2063,230.7575,8.6394,ExtraGalactic-Cluster_of_Galaxies,,-1
J1539-624,Swift J1539.2-6227,234.804,-62.466,Galactic-Compact-Binary-BH,,-1
J1542-523,"4U 1538-52,QV Nor",235.5971,-52.3861,Galactic-Compact-Binary-Pulsar,0.20919,59.769
J1547-476,"4U 1543-475,IL Lup",236.7858,-47.6694,Galactic-Compact-Binary-BH,-0.055606,-15.887
J1547-625,"4U 1543-624,1RXS J154754.4-623409",236.9779,-62.5682,Galactic-Compact-Binary-NS/BH,0.119038,34.011
J1550-564,"XTE J1550-564,V381 Nor",237.7446,-56.4767,Galactic-Compact-Binary-NS/BH,-0.014947,-4.271
J1555+111,"PG 1553+113,1ES 1553+113,HB89 1553+113",238.92935,11.1901014,ExtraGalactic-AGN,0.100373,28.678
J1558+272,Abell 2142,239.5833,27.2334,ExtraGalactic-Cluster_of_Galaxies,,-1
J1559+259,T CrB,239.8757,25.9202,Galactic-Compact-Binary-WD,,-1
J1601-607,"1H 1556-605,LU TrA",240.2596,-60.7383,Galactic-Compact-Binary-NS/BH,0.007088,2.025
J1602+158,Abell 2147,240.5717,15.8953,ExtraGalactic-Cluster_of_Galaxies,0.004345,1.241
J1608+104,4C 10.45,242.1925,10.4855,ExtraGalactic-AGN,,-1
J1612-524,"4U 1608-52,H 1608-522,QX Nor",243.1792,-52.4231,Galactic-Compact-Binary-NS/BH,0.057132,16.323
J1613+342,"HB89 1611+343,OS 319,QSO B1611+343",243.4211,34.2133,ExtraGalactic-AGN,,-1
J1615-061,Abell 2163,243.8921,-6.1239,ExtraGalactic-Cluster_of_Galaxies,,-1
J1619-156,Sco X-1,244.9795,-15.6402,Galactic-Compact-Binary-NS,56.169685,16048.481
J1622-178,U Sco,245.6278,-17.8784,Galactic-Compact-Binary-WD,,-1
J1625-234,Rho Oph,246.396,-23.447,Galactic-Star,,-1
J1625-254,PKS 1622-253,246.4454,-25.4606,ExtraGalactic-AGN,,-1
J1626-298,PKS 1622-297,246.5251,-29.8575,ExtraGalactic-AGN,,-1
J1626-334,CIZA J1626.3-3329,246.5862,-33.4889,ExtraGalactic-Cluster_of_Galaxies,,-1
J1626-519,Swift J1626.6-5156,246.651,-51.9426,Galactic-Compact-Binary-NS/BH,-0.09853,-28.151
J1628+395,Abell 2199,247.1542,39.5244,ExtraGalactic-Cluster_of_Galaxies,,-1
J1628-491,"4U 1624-490,1RXS J162804.7-491150",247.011792,-49.1985,Galactic-Compact-Binary-NS/BH,0.188465,53.847
J1631-488,IGR J16318-4848,247.9667,-48.8083,Galactic-Compact-Binary-NS/BH,,-1
J1632+825,NGC 6251,248.1332,82.5379,ExtraGalactic-AGN,,-1
J1632-474,IGR J16328-4726,248.1917,-47.4367,NA,,-1
J1632-478,AX J1631.9-4752,248.0079,-47.8742,Galactic-Compact-Binary-NS/BH,,-1
J1632-674,"4U 1626-67,KZ TrA",248.07,-67.4619,Galactic-Compact-Binary-Pulsar,-0.027274,-7.793
J1634-473,"4U 1630-472,Nor X-1,GX 337+00,SAXWFC J1634.0-4722.8",248.5017,-47.3942,Galactic-Compact-Binary-BH,1.128866,322.533
